"city","state_code","median_sale_price"
"BEVERLY HILLS","CA","2650000"
"BEVERLY HILLS","CA","1410000"
"BEVERLY HILLS","CA","4071500"
"BEVERLY HILLS","CA","4810000"
"BEVERLY HILLS","CA","6777500"
"BEVERLY HILLS","CA","938250"
"BEVERLY HILLS","CA","1451500"
"BEVERLY HILLS","CA","1046500"
"BEVERLY HILLS","CA","9400000"
"BEVERLY HILLS","CA","1246000"
"BEVERLY HILLS","CA","5343500"
"BEVERLY HILLS","CA","2025000"
"BEVERLY HILLS","CA","1412500"
"BEVERLY HILLS","CA","1112500"
"BEVERLY HILLS","CA","1167500"
"BEVERLY HILLS","CA","3650000"
"BEVERLY HILLS","CA","1401500"
"BEVERLY HILLS","CA","4126000"
"BEVERLY HILLS","CA","3950000"
"BEVERLY HILLS","CA","3885000"
"BEVERLY HILLS","CA","1987500"
"BEVERLY HILLS","CA","2850000"
"BEVERLY HILLS","CA","2588000"
"BEVERLY HILLS","CA","2900000"
"BEVERLY HILLS","CA","2550000"
"BEVERLY HILLS","CA","2625000"
"BEVERLY HILLS","CA","1350000"
"BEVERLY HILLS","CA","3252500"
"BEVERLY HILLS","CA","1270000"
"BEVERLY HILLS","CA","1125000"
"BEVERLY HILLS","CA","12193750"
"BEVERLY HILLS","CA","2858000"
"BEVERLY HILLS","CA","1575000"
"BEVERLY HILLS","CA","13550000"
"BEVERLY HILLS","CA","3527500"
"BEVERLY HILLS","CA","1400000"
"BEVERLY HILLS","CA","1395000"
"BEVERLY HILLS","CA","4450000"
"BEVERLY HILLS","CA","1025000"
"BEVERLY HILLS","CA","5500000"
"BEVERLY HILLS","CA","2295000"
"BEVERLY HILLS","CA","3025000"
"BEVERLY HILLS","CA","2113000"
"BEVERLY HILLS","CA","2200000"
"BEVERLY HILLS","CA","7050000"
"BEVERLY HILLS","CA","2625000"
"BEVERLY HILLS","CA","2852000"
"BEVERLY HILLS","CA","4125000"
"BEVERLY HILLS","CA","3232000"
"BEVERLY HILLS","CA","2650000"
"BEVERLY HILLS","CA","1259000"
"BEVERLY HILLS","CA","5150000"
"BEVERLY HILLS","CA","2910500"
"BEVERLY HILLS","CA","2465000"
"BEVERLY HILLS","CA","1850000"
"BEVERLY HILLS","CA","1430800"
"BEVERLY HILLS","CA","3825000"
"BEVERLY HILLS","CA","1900000"
"BEVERLY HILLS","CA","2858000"
"BEVERLY HILLS","CA","8500000"
"BEVERLY HILLS","CA","1450000"
"BEVERLY HILLS","CA","3450000"
"BEVERLY HILLS","CA","2995000"
"BEVERLY HILLS","CA","4900000"
"BEVERLY HILLS","CA","2240000"
"BEVERLY HILLS","CA","2450000"
"BEVERLY HILLS","CA","5000000"
"BEVERLY HILLS","CA","2350000"
"BEVERLY HILLS","CA","4050000"
"BEVERLY HILLS","CA","2438000"
"BEVERLY HILLS","CA","2010000"
"BEVERLY HILLS","CA","3850000"
"BEVERLY HILLS","CA","2900000"
"BEVERLY HILLS","CA","675000"
"BEVERLY HILLS","CA","1250000"
"BEVERLY HILLS","CA","2600000"
"BEVERLY HILLS","CA","1597500"
"BEVERLY HILLS","CA","1901500"
"BEVERLY HILLS","CA","729500"
